,questions,answers
0,Какой стране принадлежит знаменитый остров Пасхи?,Чили
1,С какой музыкальной группой неразрывно связано имя Мика Джаггера?,'Роллинг Стоунз'
2,Где находится Летний сад?,Санкт-Петербург
3,Какой город является столицей Туркмении?,Ашхабад
4,"В каком городе издавалась с 1857 г. А. Герценом и Н. Огаревым первая российская революционная газета ""Колокол""?",Лондон
5,В какой стране находится второй из самых высоких действующих вулканов с забавным названием Попокатепетль (5452 м)?,Мексика
6,В каком виде спорта прославилась Курникова?,теннис
7,В каком городе родился Вольфганг Амадей Моцарт?,Зальцбург
8,В каком городе убили Джона Леннона?,Нью-Йорк
9,Гражданином какой страны был изобретатель телеграфного кода Морзе?,США
10,Как называлась столица Крымского ханства?,Бахчисарай
11,Как назывался корабль Хана Соло?,тысячелетний сокол
12,Какой музыкальный инструмент прославил имя Генри Стейнве?,рояль
13,"Какой стране принадлежит авиакомпания ""Malev""?",Венгрия
14,"Кто автор поэмы ""Энеида""?",Вергилий
15,"Кто автор романа ""Колыбель для кошки""?",Воннегут
16,"Кто написал роман ""Зима тревоги нашей""?",Джон Стейнбек
17,Кто первым открыл Южную Америку?,Колумб
18,"Кто снял искрометную ""Кавказскую пленницу"" (фамилия)?",Гайдай
19,Кто создал одно из чудес света – статую Зевса в Афинах?,Фидий
20,Кто сражался с немейским львом?,Геракл
21,"Что на весь мир прославило маленькое парижское кафе ""Режанс""?",шахматы
22,"Кто автор ""Похождений бравого солдата Швейка""?",Гашек
23,"В каком государстве находится Океанографический музей Жак-Ива Кусто? ""в ...""",Монако
24,Где расположена Академия наук Армении,Ереван
25,Какая столица стоит на берегу Потамака?,Вашингтон
26,Какой библейский царь живет и почитается в исламе под именем Дауд,Давид
27,Какой продукт составляет основу сырников,творог
28,На каком острове жила древнегреческая поэтесса Сапфо?,Лесбос
29,Какому государству принадлежит народный парк Беловежская пуща,Польша
30,В какой стране город Калькутта?,Индия
31,Что скрывается за всякой фобией?,страх
32,"Кто написал роман ""Великий Гэтсби""?",Ф. Скотт Фицджеральд
33,В какой стране находится крупный город Фейсалабад?,Пакистан
34,Как звали доктора Ватсона?,Джон
35,Как называется столица Китайской Народной Республики?,Пекин
36,"Кто автор сказки ""Бременские музыканты""?",Братья Гримм
37,Кто был воспитателем Александра Македонского?,Аристотель
38,Кто стал президентом российской федерации в 2012 году?,Путин
39,Кто играл гарри поттера,Дениел Редклиф
40,"Кто написал поэму ""Ода к радости""?",Фридрих Шиллер
41,"Кто автор бессмертной ""Похвалы Глупости""?",Эразм Роттердамский
42,Какая страна является родиной хереса?,Испания
43,К какой династии принадлежала английская королева Елизавета I?,Тюдоры
44,Какой город является столицей Удмуртской республики?,Ижевск
45,Кто придумал Бременских музыкантов?,Братья Гримм
46,"Что греки называли ""водяным вором"" - клепсидрой?",Водяные часы
47,В какой стране воевали между собой в 15 веке Алая и Белая Розы?,Англия
48,В каком виде спорта был неоднократным чемпионом СССР знаменитый комментатор Николай Озеров?,Теннис
49,Какая богиня в римской мифологии соответствует греческой Деметре?,Церера
50,В какой прыжковой дисциплине выступал олимпийский чемпион Виктор Санеев?,Тройной прыжок
51,В каком регионе России находится город Майкоп?,Адыгея
52,Какому композитору принадлежит заслуга разработке додекафонии (12-тоновая техника)?,Арнольд Шёнберг
53,"Что, с точки зрения астронома, представляют собой Плеяды?",Рассеянное скопление
54,"Какая автомобильная компания прикупила автозаводы чешской ""Шкоды""?","""Фольксваген"""
55,Какой роман прославил имя Маргарет Митчелл?,"""Унесенные ветром"""
56,В какой стране проводились 1-вые зимние Олимпийские игры?,Франция
57,Как раньше назывался Стамбул?,Константинополь
58,В каком городе находится Малахов курган?,Севастополь
59,В какой стране находится историческая Родина графа Дракулы - Трансильвания?,Румыния
60,Какой язык является официальным в Австралии?,Английский
61,Какой город является административным центром американского штата Арканзас?,Литл-Рок
62,"Кем была Лайка — первая собака, отправленная в космос?",дворнягой
63,В каком канадском хоккейном клубе играл Алексей Поникаровский?,Торонто Мэйпл Лифс
64,Как теперь называется Порт-Артур?,Люйшунь
65,Какой певческий голос у Дмитрия Хворостовского?,Баритон
66,Какой обьект исследует американский космический аппарат «Оппортьюнити»?,Марс
67,"Кто снял кинофильмы про ""неуловимых мстителей""?",Эдмонд Кеосаян
68,В каком из городов СССР была пущена первая в мире атомная электростанция?,Обнинск
69,"Кто написал роман ""Призрак оперы""?",Гастон Леру
70,Внутри какой страны находится республика Сан-Марино?,Италия
71,В каком из городов находится штаб-квартира НАТО?,"Брюссель, Бельгия."
72,В каком городе установлена копия московского памятника Минину и Пожарскому?,В Нижнем Новгороде (копия московского памятника).
73,В каком виде спорта первую для России олимпийскую медаль выиграла в 2010 году Екатерина Илюхина?,Сноубординг
74,В какой стране однопалатный парламент называется стортинг?,Норвегия
75,Сыном какой страны был великий педагог И. Г. Песталоцци?,Швейцария
76,"Где действовала подпольная организация ""Молодая гвардия""?",Краснодон
77,В каком архитектурном стиле построено здание Большого театра в Москве?,Классицизм
78,Кто из пиратов плавал на корабле «Золотая лань»?,Фрэнсис Дрейк
79,"Как звали дочь Иродиады, танец которой вынудил Ирода отдать приказ обезглавить Иоанна Крестителя?",Саломея
80,"В каком городе России установлен памятник «Белому Биму», сеттеру, герою книги Гавриила Троепольского «Белый Бим – черное ухо»?",Воронеж
81,"Кто из рок-музыкантов выступал под псевдонимом ""Зигги - звезная пыль""?",Дэвид Боуи
82,Какой город является столицей Лесото?,Масеру
83,Какой архитектор был автором проекта Храма Христа Спасителя?,К. А. Тон
84,Откуда вытекает река Нева?,Из Ладожского озера
85,как звали собаку билла клинтона,бадди
86,"Кем был американец Джозеф Глидден, получивший в 1874 году патент на изобретение колючей проволоки?",фермером
87,Какой стиль сменила эпоха Возрождения?,готика
88,Где находится мост Александра III?,Париж
89,В какой стране находится стадион «Маракана»?,Бразилия
90,Кто написал роман «Триумфальная арка»?,Эрих Мария Ремарк
91,Кто написал картину «Черный квадрат»?,Казимир Северинович Малевич
92,Кто написал картину «Сикстинская Мадонна»?,Рафаэль Санти
93,В каком городе Бразилии родился Пеле?,Трес-Корасойнс
94,"На каком стадионе, 1 июля в Киеве, прошёл финальный матч чемпионата Европы по футболу 2012 года?",Олимпийский
95,"В каком городе проводился фестиваль ""Рок над Волгой""?",Самара
96,Как зовут дочь основательницы Кондиды Когтевран?,Елена Когтевран
97,Кто написал повесть «Джон Ячменное Зерно»?,Джек Лондон
98,"На какой киностудии снят фильм ""Место встречи изменить нельзя""",Одесская киностудия
99,При какой династии были совершены знаменитые мореплавания Чжэн Хэ?,Мин
100,При каком российском монархе возник Государственный Музей Эрмитаж?,Екатерина II
101,В каком старинном городе находится мужской Старо-Голутвин монастырь?,Коломна
102,Какая форма правления установлена в Швейцарии?,Федеративная республика
103,Где в настоящее время находится историческая область Ширван?,Азербайджан
104,Какой период в истории Японии следовал сразу после периода Хэйан?,Камакура
105,Кем был по происхождению Емельян Пугачев?,Казак
106,Кто был режиссёром советской версии телесериала о Шерлоке Холмсе?,Игорь Масленников
107,Как настоящее имя известного итальянского певца Тото Кутуньо?,Сальваторе
108,Когда отмечается День народного единства?,4 ноября
109,Кем является Лео Антонович Бокерия?,Кардиохирургом
110,Кем изначально по специальности был Френсис Крик - первооткрыватель (вместе с Дж. Уотсоном) спирали ДНК?,физик
111,Какой город является столицей Исландии?,Рейкьявик
112,В каком городе родился Плутарх?,Херонея
113,"В каком ""рукаве"" Млечного Пути находится Солнечная система?",Рукав Ориона
114,Какой город является административным центром Приморского края?,Владивосток
115,"В какой науке достиг значительных высот Джон Дальтон, именем которого названо заболевание дальтонизм?",Химия
116,Где родился художник И. Репин?,Чугуев
117,"Кто автор культового романа ""Пролетая над гнездом кукушки""?",К. Кизи
118,"Кто из австралийских писателей является автором книги «Ковчег Шиндлера», по которой был поставлен оскароносный фильм?",Томас Кенилли
119,Какая страна выпускает самолеты марки Embraer?,Бразилия
120,"Какой режиссер поставил кинофильм ""Республика ШКИД""?",Геннадий Полока
121,Кто автор романа «В круге первом»?,Александр Солженицын
122,В каком виде спорта Елена Петушкова завоевала Олимпийскую золотую медаль?,Выездка
123,"Кто написал роман и одноименную пьесу ""Дама с камелиями""?",Александр Дюма-сын
124,В какой группе пел Джим Моррисон?,The Doors
125,Как зовут единственную дочь Элвиса Пресли?,Лиза Мария
126,Где было построено одно из чудес света - Фаросский (Александрийский) маяк?,Египет
127,"В каком польском городе происходит действие кинофильма Стивена Спилберга ""Список Шиндлера""?",Краков
128,"Кто автор музыки, звучащей в телесериале «Мастер и Маргарита» режиссера В. Бортко?",Игорь Корнелюк
129,"Какой рок-группе принадлежит авторство известной композиции: ""Все это рок-н-ролл""?",Алиса
130,"В каком городе находится памятник ""Тысячелетие России"" скульпторов Микешина и Шредера?",Великий Новгрод
131,Какой город является столицей государства Папуа - Новая Гвинея?,Порт-Морсби
132,"Кто автор популярнейшей украинской песни ""Червона рута""?",Владимир Ивасюк
133,"Кто написал трактат ""Поэтика""?",Аристотель
134,В какой стране расположен знаменитый римский акведук Пон-дю-Гар?,Франция
135,"Кто является автором ""Композиции VI""?",Василий Кандинский
136,Какой римский император написал философское сочинение «Наедине с собой»?,Марк Аврелий
137,"Кто автор пьесы ""Средство Макропулоса""?",Карел Чапек
138,Какой стране принадлежит остров Ибица,Испания
139,Какой голос имел певец Хворостовский,Баритон
140,Какой язык является оффициальным в Бразилии,Португальский
141,Из какой страны группа АББА,Швеция
142,Какой стране принадлежит черноморский остров Змеиный?,Украина
143,Какая страна считает себя родиной картофеля фри?,Бельгия
144,Кто автор пьесы «Свадьба Кречинского»?,Сухово-Кобылин
145,В каком городе родился Карл Маркс?,Трир
146,В каком городе умерла святая покровительница Беларуси Евфросинья Полоцкая?,Иерусалим
147,"Кто в 2013 году стал первым президентом Чехии, избранным путём всенародных выборов?",Милош Земан
148,В какой стране расположен вулкан Гарибальди?,Канада
149,Какой минерал является основной составляющей частью известняка?,Кальцит
150,Какое событие в истории США послужило основой сюжета романа Стивена Кинга «11/22/63»?,Убийство Дж. Ф. Кеннеди
151,Какой художник является автором картин «Желтый Христос» и «Зелёный Христос»?,Поль Гоген
152,В каком городе находится штаб-квартира международной организации Интерпол?,Лион
153,Кем по профессии является София Губайдулина?,Композитор
154,Какую премию получила Барбара Брыльска за исполнение роли Нади Шевелёвой?,Госпремия СССР
155,Кто является автором пьесы о легендарном античном мизантропе «Жизнь Тимона Афинского»?,Уильям Шекспир
156,"В каком городе находился Храм Артемиды, один из Семи чудес античности?",Эфес
157,В каком городе была сожжена Жанна Д'арк?,Руан
158,В каком городе Самарской области расположен автомобильный завод гигант - ВАЗ?,Тольятти
159,"В какой азиатской стране находится достопримечательность, называемая ""шоколадные холмы""?",филиппины
160,В каком государстве Южной Америки находится озеро-залив Маракайбо?,венесуэла
161,В какой европейской стране зародилось телешоу The Voice («Голос»)?,нидерланды
162,"Какова основная валюта, циркулирующая в Израиле?",шекель
163,Какая страна на её официальном языке называется «Republika e Shqipërisë»?,албания
164,Кем был Леон Бакст?,Художником
165,Как называется самая высокая гора Украины,говерла
166,Кто написал знаменитый марш «Прощание славянки»?,агапкин
167,Когда отмечают в России православный праздник Медовый Спас?,14 августа
168,"Где находится городок Типперери, упомянутый в названии знаменитой маршевой песни британской армии «It's a long way to Tipperary»?",В Ирландии
169,Кто был подлинным изобретателем телефона?,меуччи
170,В какой стране располагалось ныне пересохшее озеро Поопо?,боливия
171,Чем является бордоская жидкость?,Фунгицидом
172,В какой столице можно посетить Гугун — императорский дворец в Запретном городе?,пекин
173,Кто является режиссёром советского кинофильма «Подкидыш»?,Татьяна Лукашевич
174,В каком городе находится гробница пророка Мухаммеда?,Медина
175,Сколько музыкантов в квартете?,четыре
176,В каком виде спорта используется сицилианская защита?,Шахматы
177,Какая террористическая организация похитила и убила премьер-министра Италии Альдо Моро?,Красные бригады
178,"В какой город нужно отправиться, чтобы увидеть «Сикстинскую Мадонну» Рафаэля?",Дрезден
179,Какой танец исполняют под мелодию «Кумпарситы»?,Танго
180,В каком административном регионе находится город Ливорно?,Тоскана
181,"Кто автор пьесы, сюжет которой лёг в основу оперы Дж. Пуччини «Турандот»?",К. Гоцци
182,В какой стране закончил свою жизнь великий русский шахматист Александр Алехин?,Португалия
183,"Какой драматург, который был старше Чарли Чаплина всего на полгода, стал последним тестем великого комика?",Юджин О’Нил
184,"К какой династии до замужества принадлежала королева Марго, героиня романа А. Дюма?",валуа
185,Ветви какой королевской династии правят в Дании и Норвегии?,Глюксбурги
186,Какая форма государственного правления Сан-Марино?,Республика
187,Что создал выходец из России Давид Сарнов?,NBC
188,Кто был первым лауреатом Нобелевской премии по физике?,Рентген
189,Где родилась певица Шакира?,В Колумбии
190,"Маршалом каких войск был Иван Николаевич Кожедуб, трижды Герой Советского Союза?",Авиации
191,Какая страна участвовала в вооруженном конфликте 1982 года с Великобританией из за Фолклендских островов?,Аргентина
192,Чьё произведение легло в основу гимна футбольной Лиги чемпионов?,Генделя «Садок-Священник»
193,Что входит в состав любого органического вещества?,Углерод
194,"Какую страну раньше называли ""Абиссинией""?",Эфиопия
195,"Кто исполнил роль агента Кея в к/ф ""Люди в черном""?",Т. Л. Джонс
196,"С какой страной Бразилия ""делит"" водопад Игуасу?",С Аргентиной
197,Кто был сыном бога солнца Гелиоса и океаниды Климены?,Фаэтон
198,"На каком языке, по мнению большинства, написан Новый Завет?",Древнегреческий
199,Кто был сыном горгоны Медузы?,Пегас
200,Кто сыграл Тосю Кислицыну в фильме «Девчата»?,Надежда Румянцева
201,Как звучит полное имя Ди Каприо?,Леонардо Вильгельм
202,"Как называется исторический период, разделяющий Средневековье и новейшее время?",Новое время
203,Какая группа снялась в фильме Ричарда Лестера «Вечер трудного дня»?,«Битлз»
204,Кто в 2016 году стал обладателем Нобелевской премии по литературе?,Боб Дилан
205,Кто был соавтором С. В. Михалкова в написании текста гимна Советского Союза?,Эль-Регистан
206,Какой голос у великого Лучано Паваротти?,Тенор
207,"Какой поэт написал слова к бродвейскому мюзиклу ""Cats"" Эндрю Веббера",Элиот
208,Как по-другому называют койота?,Луговой волк
209,Каким было полное имя набоковской Лолиты?,Долорес
210,"Какой советский космический корабль в 1975 году пристыковался к американскому ""Аполлону""?","""Союз-19"""
211,Как называют сестру мужа?,Золовка
212,В какой стране долгие годы правил диктатор Салазар?,Португалия
213,"Какой металл, кроме меди, присутствует в мельхиоровой посуде?",Никель
214,К какой группе инструментов относится старинный русский музыкальный инструмент гудок?,К струнным смычковым
215,В какой стране вы будете расплачиваться за покупки донгами?,Вьетнам
216,"Где, главным образом, живут шерпы?",В Гималаях
217,Какая страна - родина бейсбола?,Англия
218,Как называется выдача преступника одним государством другому для суда или отбывания наказания по уже состоявшемуся решению суда?,Экстрадиция
219,В каком городе находится штаб-квартира Microsoft?,"г. Редмонд (пригород г. Сиэтл), штат Вашингтон, США."
220,"Как звучит название политической разведки Израиля, по своему назначению и функциям сравнимой с американским ЦРУ?",Моссад
221,Какой класс животных называют рептилиями?,пресмыкающиеся
222,Где снимался фильм Звягинцева «Левиафан»?,Мурманская область
223,В какой стране находится город Александрия?,Египет
224,"В какой стране происходит действие романа Александра Беляева ""Человек-амфибия""?",Аргентина
225,В какой стране находится самый высокий водопад в мире?,Венесуэла
226,Какой тембр голоса у Пласидо Доминго?,Тенор
227,Где находится город Новый Афон?,Абхазия
228,В какой стране зародился театр теней?,в Китае
229,Как звали итальянского композитора Леонкавалло?,Руджеро
230,Как звали персонажа Киану Ривза в трилогии «Матрица»?,Андерсон
231,В каком городе умер А. П. Чехов?,Баденвайлер
232,Какая актриса была замужем за Люком Бессоном?,Мила Йовович
233,К какой системе органов у многоклеточных организмов относятся гонопоры?,репродуктивный
234,"В каком селе Тверской области ежегодно, начиная с 2008 года, проходит крупнейший в СНГ рок-фестиваль «Нашествие»?",большое завидово
235,В каком подмосковном городе находится Ново-Иерусалимский монастырь?,истра
236,Сколько спутников у Марса?,2
237,В каком году родился Иммануил Кант?,1724
238,Кто старше Гарри Поттер или Рон Уизли?,Рон
239,Какая самая крупнейшая пустыня в мире?,Сахара
240,Какое «одно только слово» твердил Айболит по дороге к больным африканским зверям?,Лимпопо
241,Кем был по основной специальности гоголевский Вакула?,Кузнец
242,Где держит скотину крестьянин?,В хлеву
243,Собаку какой породы прославил Э. Сетон-Томпсон в книге 'Животные-герои'?,Бультерьер
244,Какое основное сырье используется в работе атомных электростанций?,Уран
245,Как звали 3-х головую собаку?,Пушок
246,На какой реке встретились в 1945 году советские и американские солдаты?,Эльба
247,Какая графа паспорта гражданина СССР была упразднена?,Национальность
248,Пистолет какой системы использовал обычно Джеймс Бонд?,"""Вальтер"""
249,"Ученым какой профессии посвящен фильм Михаила Ромма ""9 дней одного года""?",Физика
250,Что приводит в движение самолеты с поршневыми двигателями?,Пропеллер
251,Что чаще всего подают к рюмке коньяка?,Ломтик лимона
252,В каком городе проживал Александр Иванович Корейко?,Черноморск
253,"Где находится Музей молока, основанный в 80-х годах прошлого столетия?",Каунас
254,Как звали злую сестру доктора Айболита в сказке Корнея Чуковского?,Варвара
255,"Какая неотъемлемая часть любой современной оперы впервые появилась в опере ""Орфей"" в 1607 году?",увертюра
256,Какая приправа в Англии XII века ценилась дороже золота?,перец
257,Каким методом получается из каучука резина?,вулканизацией
258,Какое дерево имеет цветки с самым сладким нектаром (75–80% сахара)?,яблоня
259,"Какое имя переводится с еврейского словом ""лилия""?",Сусанна
260,"Какое техническое приспособление предоставил герой романа Марка Твена ""Янки при дворе короля Артура"" легендарным рыцарям?",велосипед
261,Какой бодрящий напиток любят пить в России во время застолья?,водку
262,Какой документ выдают выпускнику ВУЗа?,диплом
263,Какой художник нарисовал символ мира – голубя с оливковой ветвью?,Пикассо
264,Кто был главным врагом Чебурашки?,Шапокляк
265,Кто сидит рядом с водителем спортивного автомобиля во время ралли?,штурман
266,Кто славился длинным носом?,Бержерак
267,"Кто произносил перед выступлением слова: ""Идущие на смерть приветствуют тебя""?",гладиатор
268,Чем выплачивались дивиденды акционерам Ост-Индийской компании до 1644 года?,пряностями
269,Чем можно разгружать вагон с людьми?,грабли
270,"Какой самый грозный речной хищник живет до 40, а иногда до 100 лет?",крокодил
271,"Какой ударный инструмент звучит на ринге, возвещая начало или конец раунда?",гонг
272,Какой французский поэт семнадцатого века изобрел семь способов полета на Луну?,Сирано де Бержерак
273,"Какое событие время от времени происходит в комнате ""с ключом""?",конклав
274,"Кого охраняли в кабинете N 67 под вывеской ""классная дама""?",Ленина в Смольном
