,questions,answers
275,В каком певце скрываются вопли добрых волшебниц,Орфей
276,Кто придумал дорожные чеки?,Роберт Кук
277,Какой показатель для воды при 20°С равен 81?,Диэлектрическая проницаемость
278,"Кто был ведущим ""Битвы экстрасенсов"" до Марата Башарова?",Михаил Пореченков
279,Что дают в магазине на новый утюг?,гарантию
280,Что должно быть в буриме?,рифма
281,Когда в СССР было отменено раздельное обучение мальчиков и девочек?,в 1954 году
282,В какой комнате проживает Мойдодыр?,Спальня
283,В каком городе находится основная база ВМС ЮАР?,Саймонстаун
284,"Какого цвета, по словам Рошфора, была лошадь д'Артаньяна?",ярко-желтого
285,Сколько колес у мотоцикла с коляской?,3
286,Какая лунная низменность находится на обратной стороне Луны?,море москвы
287,Кто из спортсменов порой прибегает к «обезьяньей игре»?,шахматы
288,Чьё изобретение стало прообразом детали обыкновенной ручной мясорубки?,архимед
289,Какой неметалл встречается в природе в самородном виде?,сера
290,Какая картина получила шутливое прозвище «Рембрандт на вынос»?,«Портрет Якоба де Гейна ІІІ
291,Какой шведский хоккейный клуб прервал 13-летнюю победную серию московского ЦСКА в Кубке Европы?,«Юргорден»
292,"Как, согласно этикету, нужно есть хинкали?",руками
293,Какая птица в геральдике является символом бдительности?,журавль
294,Как назывался третий круг ада Данте из Божественной комедии?,чревоугодие
295,Какая политическая партия ЮАР представляет в основном этнических зулу?,инката
296,Какое минимальное число игроков команды на футбольном поле допустимо при продолжении игры?,7
297,Когда появился первый компьютер?,В 1938 году
298,Какое хождение описано в известном романе Алексея Толстого?,По мукам
299,"Какое звание получил Гринёв в Белогородской крепости в ,,Капитанской дочке,,?",Прапорщик
300,В какой лиге играет ЦСКА?,"Лига чемпионов УЕФА, Кубок России по футболу, Российская Премьер-Лига"
301,Какие национальности в США?,"американцы США, немцы, шведы"
302,Какой пост занимает Матвиенко?,Председатель верхней палаты парламента
303,Кто участвовал в 1 мировой войне?,"США, Канада, Османская империя, Австралия, Австро-Венгрия, Бразилия, Бельгия, Британская империя, Таиланд, Германская империя, Финляндия, Российская империя, Горская республика, Герцогство Курляндское и Земгальское, Российская республика, Третья Французская республика, Украинская народная республика, Грузинская демократическая республика, Королевство Литва, Кубанская народная республика, Японская империя, Китайская Республика, Королевство Италия, Южно-Африканский союз, Королевство Венгрия, Королевство Румыния, Королевство Сербия, Белорусская народная республика, Третье Болгарское царство, Азербайджанская Демократическая Республика, Королевство Черногория, Джебель-Шаммар, Хиджаз, Государство дервишей, Украинская держава, Первая Португальская республика, Ньюфаундленд, Балтийское герцогство, Крымское краевое правительство, Всевеликое войско Донское, Дарфурский султанат, Доминион Новая Зеландия, Королевство Греция, Королевство Польское"
304,На каком озере находится Валаам?,Ладожского озера
305,Притоком какой реки является Намана?,Лены
306,В какой лиге играет Анжи?,Российская Премьер-Лига
307,В какой части света находится Люксембург?,в Западной Европе
308,Где находится штаб-квартира Интерпола?,Лион
309,Какой архитектурный стиль здания МГУ?,"Сталинский ампир, Нарышкинский стиль"
310,Кто дочь Алсу?,"Микелла Абрамова, Сафина Яновна Абрамова"
311,Столица какой страны Люксембург?,Люксембург
312,В каких лигах играет Барселона?,"Лига чемпионов УЕФА, Ла Лига, Лига Испании по футболу"
313,В какой стране живут герои сказки Маугли?,Индии
314,Где погребен Микеланджело?,Санта-Кроче
315,Где родилась Цветаева?,Москва
316,Где учился Ломоносов?,"Марбургский университет, Санкт-Петербургский государственный университет, Славяно-Греко-Латинская академия,Национальный университет «Киево-Могилянская академия"
317,За какую команду играет Акинфеев?,ЦСКА
318,К какому жанру относится игра Far Cry New Dawn?,шутер от первого лица
319,Какие группы исполняли песни к фильму Брат?,Nautilus Pompilius
320,Какие платформы поддерживает Роблокс?,"iOS,Mac,Xbox One,PC,и Oculus Rift"
321,Кто дочь Шойгу?,Юлия Шойгу
322,Кто написал Винни Пуха?,"Алан Александр Милн, Элизабетт Гноун"
323,Кто основал компанию Форд?,Генри Форд
324,Кто режиссер сериала Сваты?,"Андрей Яковлев, Эдуард Радзюкевич, Владимир Зеленский"
325,Кто отец Дмитрия Борисова?,"Бак, Дмитрий Петрович"
326,Кто участвовал в Ледовом побоище?,"Тевтонский орден, Новгородская республика, Дания"
327,На каких платформах выйдет Death Stranding?,"PlayStation 4, Windows"
328,В какой части света находится Турция?,Европа
329,На каком озере стоят деревянные церкви острова Кижи?,Онежское озеро
330,С кем в браке Настя Каменских?,Потап
331,В какой команде играет Месси?,Барселона
332,В какой стране основана компания Samsung?,Южная Корея
333,В какой команде играет Роналдо?,Ювентус
334,Где похоронен Калашников Михаил Тимофеевич?,Федеральное военное мемориальное кладбище
335,Где родилась Юлия Началова?,Воронеж
336,За кого играет Неймар?,Пари Сен-Жермен
337,Из какой династии был Иван Грозный?,Рюриковичи
338,К какому направлению относят произведения Макса Бекмана?,"новая вещественность, экспрессионизм"
339,Какая компания производит автомобиль Mustang?,Ford Motor Company
340,Какая компания сняла Пираты карибского моря?,"The Walt Disney Company, Jerry Bruckheimer Productions, Walt Disney Pictures, Second Mate Productions"
341,Какая столица в Венгрии?,Будапешт
342,Какой вуз окончил Александр Володин?,ВГИК
343,Какой национальности Путин Владимир Владимирович?,русский
344,Какой национальности Хабиб Нурмагомедов?,аварец
345,Какой тембр голоса у Фредди Меркьюри?,Баритон
346,Какой университет окончил Гранин?,Санкт-Петербургский Политехнический Университет Петра Великого
347,Компания разработчик Консультант Плюс?,КонсультантПлюс
348,Кто дочь Этери Тутберидзе?,Диана Дэвис
349,Кто папа Децла?,Александр Яковлевич Толмацкий
350,Кто по профессии был Иисус Христос?,плотник
351,Кто является автором песни про царя Ивана Васильевича молодого опричника и удалого купца Калашникова?,Лермонтов Михаил
352,Куда впадает река Амазонка?,Атлантический океан
353,Куда впадает река Нева?,"Финский залив, Невская губа"
354,Куда впадает река Нил?,Средиземное море
355,Куда впадает река Обь?,"Обская губа, Карское море"
356,На каких островах находится Гонолулу?,Оаху
357,На какой позиции играет Месси?,Нападающий
358,На какой реке стоит Хабаровск?,Амур
359,На каком кладбище похоронен Децл?,"Пятницкое кладбище, Москва"
360,На чем играл Ростропович?,виолончель
361,Столица какой страны город Лиссабон?,Португалия
362,Столицей какой страны является Дакар?,Сенегала
363,Столицей какой страны является Куала-Лумпур?,Малайзии
364,Чьим притоком является река Мозель?,Рейн
365,Где захоронен Борис Годунов?,"Свято-Троицкая Сергиева Лавра, Сергиев Посад"
366,К какой епархии относится Валаамский монастырь?,Выборгская и Финляндская епархия
367,К какому архитектурному стилю относится Каменецкая башня?,к типу волынских
368,Какое административное деление в Польше?,"страна делится на воеводства (wojewodztwo), воеводства - на повяты (powiat), повяты - на гмины (gmina). В 1999 году введено новое административное деление. Теперь в Польше 16 воеводств, ~300 повятов, и 2489 гмин"
369,Какое административное устройство Китая?,"В конституции КНР предусмотрено трёхступенчатое административное деление: провинция, уезд (город), волость (поселок). Однако в реальности существуют ещё два уровня: округ (между провинцией и уездом) и деревня (ниже волости)"
370,Какое административное устройство США?,федерация
371,Какой титул у Атоса?,Королева-консорт
372,Кто изготавливает айфоны?,Китай
373,Кто брат Селены?,Эос
374,От чего скончался Кит Флинт?,Самоубийство
375,Чей фильм Чернобыль 2019?,Производство США и Великобритании
376,Что окончил Тургенев?,Петербургский университет
377,Чьим притоком является Нижняя Тунгуска?,р. Кочечум
378,Где гробница Мухаммеда?,"Зелёный купол, Медина, Саудовская Аравия"
379,Где играет Ковальчук?,Черноморец
380,Какая киностудия снимает фильмы Марвел?,"Marvel Studios, LLC"
381,Какая причина смерти Веры Глаголевой?,рак желудка
382,Какое административное устройство Испании?,автономное сообщество
383,Какой медалью был награжден Дмитрий Ларин?,Золотая звезда
384,Какую премию получил Бунин?,Нобелевской премии
385,Кто основал компанию Фольксваген?,Германский трудовой фронт
386,Кто проектировал американскую статую Свободы?,"Фредерик Огюст Бартольди, Ричард Моррис Хант"
387,Кто режиссер фильма Изгой?,Роберт Земекис
388,Кто режиссер фильма Один дома?,Крис Коламбус
389,Кто сочинил гимн России?,Сергей Владимирович Михалков
390,Чьим притоком является Псекупс?,Реки Кубань
391,В какой стране зародился танец танго?,Аргентина
392,В каком жанре работал Исаак Оливер придворный художник Анны Датской?,Портрет
393,В каком море находится Мальта?,Средиземного моря
394,Где учился Лермонтов?,Московский государственный университет имени М.В.Ломоносова
395,Кто написал песню День Победы?,"Давид Фёдорович Тухманов, Владимир Гаврилович Харитонов"
396,В каком государстве находится самый первый университет в мире?,Болонский университет в Италии
397,В каком жанре работал римский поэт Марциал?,Эпиграмма
398,Кто сочинил симфонию Героическую?,Бетховен
399,На каком континенте находится Марокко?,Африка
400,Чьё имя носит Московская государственная консерватория?,П. И. Чайковского
401,В каком городе живут герои сериала Друзья?,Нью-Йорке
402,В каком стиле построен Большой театр в Москве?,Неоклассическая архитектура
403,В каком стиле построен Казанский Собор Санкт-Петербурга?,Ампир
404,В каком стиле строил Гауди?,Модерн
405,В каком стиле строил Джакомо Кваренги?,Классицизм
406,Где была сформирована 272 стрелковая дивизия?,в районе Тихвина
407,Какая платформа у айфона?,iOS
408,Какой вуз окончил Зеленский?,Криворожский экономический институт Киевского национального экономического университета
409,Какой город столица штата Калифорния?,Сакраменто
410,Какой город является столицей республики Карелия?,Петрозаводск
411,Компания разработчик Opera?,Opera Software
412,Кто была мать Пушкина?,Надежда Осиповна Пушкина
413,Кто написал песнь О вещем Олеге?,Александр Сергеевич Пушкин
414,Кто написал песню Кукушка?,Виктор Цой
415,Кто сочинил симфонию Юпитер?,Вольфганг Амодей Моцарт
416,На какой реке находится водопад Виктория?,Замбези
417,Где находится могила Герцена?,Кладбище дю Шато
418,В какой стране исповедуют синтоизм?,Япония
419,Кто победитель чемпионата мира по шахматам 2006 года?,Владимир Крамник
420,Количество сезонов Игры престолов?,8
421,Количество сезонов Отчаянные домохозяйки?,8
422,Сколько сезонов сериала Рассказ служанки?,3
423,Какое число серий в Сказочный патруль?,42 (планируется 78)
424,Сколько весит Нурмагомедов?,70
425,Когда изобретен электрогенератор?,между 1853 и 1856 годами
426,Сколько сезонов в сериале Знахарь?,2
427,В каком году изобретен велосипед?,В 1817 году
428,В каком году основан Ижевск?,1760 г
429,В каком году родился Сталин?,1878
430,Какова площадь Антарктиды?,14 000 000 км²
431,Когда был создан Youtube?,14 февраля 2005
432,Когда родился Есенин?,3 октября 1895 г
433,Сколько сезонов в Интернах?,14
434,Сколько сезонов в сериале Солдаты?,Солдаты (17)
435,Какая химическая формула у глюкозы?,C₆H₁₂O₆
436,В каком году был выпущен фильм Титаник?,18 ноября 1997 г
437,В каком году был образован Международный олимпийский комитет?,23 июня 1894 г
438,В каком году был образован СССР?,30 декабря 1922 г
439,В каком году введена в эксплуатацию железная дорога сообщением Санкт-Петербург Москва?,1851
440,В каком году образована Новороссийская губерния?,1764
441,В каком году родилась Алла Пугачева?,15 апреля 1949
442,В каком году выпущен фильм Вокзал для двоих?,1982
443,В каком году вышел фильм Москва слезам не верит?,1979
444,В каком месяце произошел развал Советского Союза?,8 декабря 1991 года
445,Когда было построено первое метро?,10 января 1863 года
446,Когда введен в действие Кодекс торгового мореплавания РФ?,30.04.1999
447,Когда родился Пушкин?,26 мая (6 июня) 1799 г
448,Когда учреждено звание Героя Социалистического Труда?,27 декабря 1938
449,Какова высота горы Джомолунгма?,8848 м
450,При какой температуре плавится железо?,1 538°C
451,В каком году был выпущен первый iphone?,9 января 2007 года
452,В каком году был образован КГБ?,13 марта 1954 г
453,В каком году был основан Московский университет?,25 января 1755 г
454,В каком году был основан Ярославль?,1010 г
455,В каком году был учрежден Интерпол?,7 сентября 1923
456,В каком году был учреждён Русский театр для представления трагедий и комедий?,30 августа (10 сентября) 1756
457,В каком году была учреждена Нобелевская премия?,в 1969 году
458,В каком году были учреждены зимние олимпийские игры?,В 1924 году
459,В каком году было образовано Федеральное казначейство РФ?,1992
460,В каком году завершилась Реконкиста?,в 1492 году
461,В каком году заложен Летний сад?,в 1704 году
462,В каком году образован Европейский комитет по стандартизации CEN?,1961 г
463,В каком году образована баскетбольная ассоциация (NBA)?,1946
464,В каком году образована Калининградская область?,1946
465,В каком году образована Кубанская область?,1918
466,В каком году образована Международная федерация гимнастики FIG?,1881
467,В каком году образовано МЧС?,23 сентября 1994 г
468,В каком году окончилась Русско-японская война?,23 августа 1905
469,В каком году основан город Владимир?,990 г. от Рождества Христова
470,В каком году основан Гугл?,4 сентября 1998 г
471,В каком году основана компания Apple?,1976
472,В каком году произошел Августовский путч?,21 августа 1991 г
473,В каком году произошел Карибский кризис?,16 октября 1962 г
474,В каком году родилась Людмила Гурченко?,1935
475,В каком году родилась Мэрилин Монро?,1 июня 1926 г
476,В каком году родилась Тамара Синявская?,1943
477,В каком году родился Гершвин?,26 сентября 1898 г
478,В каком году родился Чайковский?,1840
479,В каком году вышел фильм Бриллиантовая рука?,1968
480,В каком году умер Брежнев?,10 ноября 1982 г
481,В каком году учрежден орден Родительская слава?,13 мая 2008 года
482,В каком году учреждена медаль За оборону Сталинграда?,22 декабря 1942 года
483,В каком году учреждена медаль За отвагу на пожаре?,31 октября 1957 года
484,В каком году учреждена Международная федерация бадминтона?,в 1934
485,Когда был выпущен айфон 8?,12 сентября 2017 года
486,Когда был образован Коми-Пермяцкий автономный округ?,1925
487,Когда был образован Международный паралимпийский комитет?,22 сентября 1989 г
488,Когда был основан Питер?,27 мая 1703
489,Когда был учрежден орден Ленина?,6 апреля 1930
490,Когда появился rambler.ru?,1996
491,Когда была учреждена опричнина?,5 января 1565 году
492,Когда было образовано Временное правительство?,1917 г
493,Когда было образовано НКВД РСФСР?,10 июля 1934 г
494,Когда было подписано Мюнхенское соглашение?,1938 год
495,Когда завершились Гуситские войны?,1434 год
496,Когда заключен пакт Молотова-Риббентропа?,23 августа 1939
497,Когда образована Единая Россия?,1 декабря 2001 г
498,Когда образованы воздушно десантные войска?,2 августа 1930 года
499,Когда окончилась гражданская война в России?,25 октября 1922/16 июля 1923 года
500,Когда основаны пограничные войска?,1918 г
501,Когда произошел Брусиловский прорыв?,4 июня 1916 г
502,Когда родился Омар Хайям?,18 мая 1048 г
503,Когда убита Анна Линд?,11 сентября 2003 г
504,Какая химическая формула озона?,O3
505,Какова температура плавления ртути?,"-38,83°C"
506,Какова химическая формула строительного гипса?,CaSO4·2H2O
507,При какой температуре плавится олово?,"231,9°C"
508,В каком году было образовано Московское княжество?,1283
509,Как долго продолжался первый полет человека в космос?,108
510,Какая температура замерзания дистиллированной воды?,0
511,Какой атомный номер у кремния?,14
512,При какой температуре испаряется пропиленгликоль?,187.4
513,Как долго длилось первое российское кругосветное плавание под руководством Крузенштерна?,1096
514,Сколько дней длился штурм Кенигсберга?,4
515,Сколько лет длилась Ливонская война?,25
516,Сколько лет продолжались Гуситские войны в Чехии?,15
517,Сколько лет продолжалось восстание Пугачева?,2
518,Сколько лет продолжалось первое кругосветное плавание?,3
519,Сколько дней продолжалась оборона Севастополя?,248
520,Как официально называется Великобритания?,Соединенное королевство Великобритании и Северной Ирландии
521,Из какого количества депутатов состоит Государственная дума?,450
522,Когда закрыли Галилео?,в 2015 году
523,В каком году был опубликован императорский манифест О создании в России Государственной думы?,17 (30) октября 1905
524,В каком году появилось издательство Малыш?,1963 году
525,Какой рост у Медведева?,"1,63 м"
526,Какая дата первого релиза PUBG?,21 декабря 2017 года
527,Какая площадь у Каспийского моря?,3 626 000 км²
528,Когда впервые был упомянут город Минск?,3 марта 1067 года
529,Когда закрылся Связной банк?,2015
530,Какая глубина озера Балхаш?,"5,8 м"
531,Когда впервые показали картину Приключения принца Флоризеля?,13 января 1981 года
532,Когда издана Красная книга?,в 1963 году
533,В каком году появился ислам как религия?,В 610 году
534,Какая глубина озера Свитязь?,58 м
535,Какая дата релиза первого Сталкера?,20 марта 2007
536,Какая площадь Черного моря?,436 402 км²
537,Сколько серий в сериале Крепостная?,48
538,В каком году был основан Орден тамплиеров?,1119
539,В каком году Некрасов написал стихотворение Памяти Добролюбова?,1864
540,Какая по порядку Венера от Солнца?,2
541,Какая причина смерти Евгения Осина?,Остановка сердца
542,Какое воинское звание было у Тараса Бульбы?,Полковник
543,Кто основал компанию Supercell?,"Илкка Паананен, Микко Кодисоя, Нико Дером, Виса Форстен, Ласси Леппинен, Петри Стайрман"
544,Кто открыл ДНК?,Френсиса Крика
545,Кто супруга Сергея Лазарева?,Анна Белодедова супруга  Сергея Лазарева
546,Кто победитель International 2019?,OG
547,Кто принимал участие в Потсдамской конференции?,"У. Черчилль, Г. Трумэн, И. В. Сталин"
548,Что изображено на 100 рублевой купюре России?,"панорама столичной Театральной площади, квадрига Аполлона на здании Большого театра"
549,Что исповедуют калмыки?,"буддизм тибетской школы Гелуг;православие, мусульмане"
550,В какой стране зародился архитектурный стиль ампир?,Франция
551,К какому художественному направлению относится поэма Мцыри?,романтизма
552,На каких островах находится Новая Зеландия?,"Южный, Северный"
553,На каком озере стоит Петрозаводск?,Онежское озеро
554,Где был создан кубик Рубика?,Будапешт
555,Где была сформирована 316-я панфиловская дивизия?,в Алма-Ате
556,Где проживает австралоидная раса?,Австралия
557,Где происходит разрушение эритроцитов?,в печени и селезёнке
558,В каком году прекратили производить ВАЗ 2114?,2013
559,В каких битвах участвовал Дмитрий Донской?,"Битва на реке Воже  1378 г,  Куликовская битва 1380 г"
560,Когда был учрежден Правительствующий сенат?,22.02.1711
561,В каком году издан Детский альбом Чайковского?,1878
562,Как звали мать Андрея Сахарова?,Екатерина Алексеевна Сахарова
563,Кто была мать Циолковского?,Мария Ивановна Юмашева
564,Кто была мать Ивана Бунина?,Людмила Александровна Чубарова
565,Какой архитектурный стиль у здания Венского музея естествознания?,историзм
566,В каком стиле построено здание Национальной библиотеки в Минске?,конструктивизм
567,В каком стиле построено здание Египетского национального музея?,неоклассический бозар
568,В каком стиле построен Дом художников в Вене?,итальянское возрождение
569,Какой по счёту планетой от Солнца является Уран?,7
570,Какая по счету планета от Солнца Меркурий?,1
571,Кем был основан город Томск?,"Гаврила Писемский, Высилий Тырков"
572,Кто основал город Берн в Швейцарии?,Бертольд V
573,Кто является основателем Хабаровска?,Яков Васильевич Дьяченко
574,Кто является основателем города Сызрань?,Григорий Афанасьевич Козловский
575,Как зовут отца Витаса?,Владас Аркадьевич Грачёв
576,Как звали отца поэта Иосифа Бродского?,Александр Иванович Бродский
577,На какой реке находится город Сыктывкар?,Северная Двина
578,На берегу какого залива расположен Дубай?,Персидский залив
579,Кто дизайнеры Bugatti Chiron?,"Ахим Аншайдт, Александр Селипанов, Фрэнк Хейл, Этьен Саломе"
